id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C03431K,1,0,0,0,1,0,0,1,0,0
C05361K,1,0,0,0,1,0,0,0,0,0
C08368K,1,0,0,0,0,0,0,0,0,0
C10406K,1,0,0,0,0,0,0,0,0,0
C12925K,1,0,1,1,1,0,1,1,1,0
C17646K,1,0,0,0,0,0,0,0,0,0
C30514K,0,0,0,0,0,0,0,0,0,0
C30657K,1,0,0,0,0,0,0,0,0,0
C31477K,1,0,1,0,0,0,0,0,0,0
C38100K,0,1,0,0,1,0,0,0,0,0
C38256K,0,0,0,0,0,0,0,0,0,0
C40357K,1,0,0,0,0,0,1,0,0,0
C40544K,1,0,0,0,0,0,0,0,0,0
C43018K,1,0,0,0,1,0,0,0,0,0
C50840K,1,0,0,0,1,0,0,0,0,0
C51565K,1,0,0,0,0,0,0,0,0,0
C52723K,1,0,1,0,0,0,0,0,0,0
C52731K,0,1,0,0,0,0,0,0,0,0
C54823K,1,1,0,0,0,0,0,0,0,0
C55054K,1,0,0,0,0,0,0,0,0,0
C55585K,1,0,0,0,0,0,0,0,0,0
C55788K,1,0,0,0,0,0,0,0,0,0
C56505K,1,0,0,1,0,0,0,0,0,0
C56628K,1,0,0,0,0,0,0,0,0,0
C58349K,1,0,0,0,0,0,0,0,0,0
C58598K,1,0,1,1,0,0,0,0,0,0
C59247K,1,0,0,0,0,0,0,0,0,0
C60769K,1,0,0,0,0,0,0,0,0,0
C60821K,1,0,0,0,0,0,0,0,0,0
C60874K,1,0,1,0,0,0,0,0,0,0
C61124K,1,1,0,0,1,0,0,0,0,0
C61732K,1,0,1,0,0,0,0,0,0,0
C61771K,1,0,1,1,1,0,0,0,0,0
C62233K,0,0,0,0,0,0,0,1,0,0
C63588K,1,0,0,0,0,0,0,0,0,0
C65281K,1,0,0,0,0,0,0,0,0,0
C67845K,1,0,0,0,0,0,0,0,0,0
C69521K,1,0,0,0,0,0,0,0,0,0
C69985K,1,0,1,0,0,0,0,0,0,0
CA00EAK,1,0,0,0,0,0,0,1,0,0
CA00J9K,1,0,0,0,0,0,0,0,0,0
CA00MFK,1,0,0,0,0,0,0,0,0,0
CA00NGK,1,0,0,0,0,0,0,0,0,0
CA00SKK,1,0,0,0,0,0,0,0,0,0
CA011DK,0,0,0,0,0,0,0,0,0,0
CA0159K,1,0,1,0,0,0,0,0,0,0
CA015VK,1,0,0,0,0,0,0,0,0,0
CA0194K,1,0,0,0,0,0,0,0,0,0
CA01CLK,1,0,0,0,0,0,0,0,0,0
CA01DHK,1,0,0,0,0,0,0,0,0,0
CA01O5K,1,0,0,0,0,0,0,0,0,0
CA01TWK,1,0,0,0,0,0,0,0,0,0
CA01V9K,1,0,0,0,0,0,0,0,0,0
CA01ZVK,1,0,0,0,0,0,0,0,0,0
CA025GK,1,0,0,0,0,0,0,0,0,0
CA029UK,1,0,0,0,0,0,0,0,0,0
CA02GCK,1,0,0,0,0,0,0,0,0,0
CA02GNK,1,0,1,0,0,0,0,0,0,0
CA02L4K,0,0,0,0,0,1,0,0,0,0
CA02L9K,1,0,0,0,0,0,0,0,0,0
CA02PRK,0,0,0,0,0,0,0,0,0,0
CA02VIK,0,0,0,0,0,0,0,0,0,0
CA02X7K,1,0,0,0,0,0,0,0,0,0
CA034RK,1,0,1,0,1,1,0,0,0,0
CA03NRK,1,0,0,0,0,0,0,0,0,0
CA03PCK,1,0,0,0,0,0,0,0,0,0
CA03SDK,1,0,0,0,0,0,0,0,0,0
CA03TWK,1,0,0,0,0,0,0,0,0,0
CA03YFK,1,0,0,0,0,0,0,0,0,0
CA043GK,1,0,0,0,0,0,0,0,0,0
CA047IK,0,0,0,0,0,0,0,0,0,0
CA047TK,0,0,0,0,0,0,0,0,0,0
CA04N1K,1,0,0,0,0,0,0,0,0,0
CA04NPK,1,0,0,0,0,0,1,0,1,0
CA04NTK,1,0,0,0,0,0,0,0,0,0
CA04SSK,1,0,0,0,0,0,0,0,0,0
CA0542K,1,0,0,0,0,0,0,0,0,0
CA059AK,1,0,1,0,0,0,1,0,0,0
CA05C9K,1,0,0,0,0,0,0,0,0,0
